task_id,study,cell_id,job_type,scenario_code,n,p,main_k,separation,main_structure,main_distribution,main_weights,residual_total,minority_ratio,q,minority_shape,minority_sd,minority_proximity,noise_type,k_fit,alpha_fit,restr_fact,auto_macro,nstart,null_reps,nstart_values,null_reps_values,rep_start,rep_end,method_set,factor_changed
67,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,661,670,core,full_factorial
68,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,671,680,core,full_factorial
69,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,681,690,core,full_factorial
70,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,691,700,core,full_factorial
71,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,701,710,core,full_factorial
72,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,711,720,core,full_factorial
73,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,721,730,core,full_factorial
74,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,731,740,core,full_factorial
75,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,741,750,core,full_factorial
76,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,751,760,core,full_factorial
77,architecture,1,main,N0,500,2,2,6,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,761,770,core,full_factorial
