task_id,study,cell_id,job_type,scenario_code,n,p,main_k,separation,main_structure,main_distribution,main_weights,residual_total,minority_ratio,q,minority_shape,minority_sd,minority_proximity,noise_type,k_fit,alpha_fit,restr_fact,auto_macro,nstart,null_reps,nstart_values,null_reps_values,rep_start,rep_end,method_set,factor_changed
53,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,521,530,core,baseline
54,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,531,540,core,baseline
55,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,541,550,core,baseline
56,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,551,560,core,baseline
57,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,561,570,core,baseline
58,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,571,580,core,baseline
59,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,581,590,core,baseline
60,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,591,600,core,baseline
61,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,601,610,core,baseline
62,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,611,620,core,baseline
63,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,621,630,core,baseline
