"study","scenario","method","N","FailureRate","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","EndToEndMedian","EndToEndMean","SelectedG"
"architecture","M3","TSRClust_unvalidated",4800,0,0.955264164002449,0.710290978146724,0.710290978146724,1,0.566666666666667,0.566666666666667,0.24199999999837,0.253150416666673,NA
"architecture","M3","TSRClust_validated",4800,0,0.95525639436367,0.475025871905303,0.475025871905303,0.6,0.496875,0.096875,1.71800000000076,1.46434770833337,NA
"architecture","M4","DBSCAN_full",4800,0,0.319198065056314,0.903098537009711,0.886291288077187,0.954583333333333,0.510833333333333,0.318333333333333,0.00700000000142609,0.00894000000001446,NA
"architecture","M4","HDBSCAN_full",4800,0,0.284715647641664,0.875234025602632,0.861933902549549,1,0.872291666666667,0.79375,0.0229999999992287,0.0200099999999429,NA
"architecture","M4","Oracle_TCLUST",4800,0,0.95751874484903,0.873077987297021,0.827523610181114,1,0.05,0.220833333333333,0.394000000000233,0.415553124999977,NA
"architecture","M4","OTRIMLE_fixedK",4800,0,0.000222996545445282,0.627899143961901,0.461336190323558,0.992291666666667,1.00770833333333,0,0.837999999999738,0.907600624999962,2
"architecture","M4","TCLUST",4800,0,0.963458136468674,0,0,0,2,0,0.25,0.249584375000008,NA
"architecture","M4","tEIGEN_BIC",4800,0,0.906433786831937,0.940116459035166,0.941133265658804,1,0.992708333333333,0.992708333333333,51.8415000000041,59.241344375,4.99270833333333
"architecture","M4","Trimmed_kmeans",4800,0,0.210890775167804,0,0,0,2,0,0.118499999998676,0.121344374999942,NA
"architecture","M4","TSRClust_unvalidated",4800,0,0.963459812309953,0.687235872678467,0.552622651419889,1,0.535625,0.238541666666667,0.250999999996566,0.250447291666678,NA
"architecture","M4","TSRClust_validated",4800,0,0.963458244212681,0.783982372150538,0.766557668549533,0.944166666666667,0.303541666666667,0.0854166666666667,1.89849999999933,1.91106520833335,NA
"architecture","N0","DBSCAN_full",16000,0,0.31290824642538,NA,NA,0.2999375,0.513125,0.513125,0.00799999999981083,0.00997656249999531,NA
"architecture","N0","HDBSCAN_full",16000,0,0.344955384822389,NA,NA,0.455625,4.41875,4.41875,0.0239999999994325,0.0207376874999986,NA
"architecture","N0","OTRIMLE_fixedK",16000,0,0.716185104668426,NA,NA,0.0005625,0.0005625,0.0005625,0.956499999999778,1.34662818749999,2
"architecture","N0","TCLUST",16000,0,0.901377458848535,NA,NA,0,0,0,0.251000000000204,0.2498105625,NA
"architecture","N0","tEIGEN_BIC",16000,0,0.950473454812637,NA,NA,0.379125,0.4918125,0.4918125,51.8229999999999,57.7898395,2.4944375
"architecture","N0","Trimmed_kmeans",16000,0,0.222053681509917,NA,NA,0,0,0,0.139000000000578,0.124107000000004,NA
"architecture","N0","TSRClust_unvalidated",16000,0,0.901416668177527,NA,NA,1,1.491875,1.491875,0.251999999999498,0.250821687499997,NA
"architecture","N0","TSRClust_validated",16000,0,0.901378190455796,NA,NA,0.0151875,0.0151875,0.0151875,0.354000000001179,0.409689124999997,NA
