"study","cell_id","scenario","factor_changed","method","n","p","main_k","separation","main_structure","main_distribution","minority_ratio","q","minority_sd","minority_proximity","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","end_to_end_seconds"
"architecture",45,"M2","full_factorial","DBSCAN_full",1000,5,2,6,"spherical","normal",0.025,1,0.2,"isolated",8.78754525393093e-07,0.265122502363299,0.265122502363299,0.283333333333333,0.716666666666667,0,0.0210033333333801
"architecture",46,"M2","full_factorial","DBSCAN_full",1000,5,2,10,"spherical","normal",0.025,1,0.2,"isolated",1.80420801610916e-06,0.976001445355866,0.976001445355866,1,0,0,0.0213533333331482
"architecture",47,"M2","full_factorial","DBSCAN_full",1000,5,2,6,"elliptical","normal",0.025,1,0.2,"isolated",2.46047051389911e-05,0.592623335006083,0.592623335006083,0.636666666666667,0.363333333333333,0,0.021313333333128
"architecture",48,"M2","full_factorial","DBSCAN_full",1000,5,2,10,"elliptical","normal",0.025,1,0.2,"isolated",1.0007698424981e-05,0.978607648431918,0.978607648431918,1,0,0,0.0218933333333916
"architecture",49,"M3","full_factorial","DBSCAN_full",500,2,2,6,"spherical","normal",0.05,1,0.55,"isolated",0.559097733201371,0.872864689470125,0.872864689470125,0.986666666666667,0.493333333333333,0.48,0.00265333333338882
"architecture",50,"M3","full_factorial","DBSCAN_full",500,2,2,10,"spherical","normal",0.05,1,0.55,"isolated",0.930962989465372,0.869556583112975,0.869556583112975,1,0.943333333333333,0.943333333333333,0.0026266666667046
"architecture",51,"M3","full_factorial","DBSCAN_full",500,2,2,6,"elliptical","normal",0.05,1,0.55,"isolated",0.00319979712328512,0.854301626203412,0.854301626203412,0.996666666666667,0.346666666666667,0.343333333333333,0.00274333333331015
"architecture",52,"M3","full_factorial","DBSCAN_full",500,2,2,10,"elliptical","normal",0.05,1,0.55,"isolated",0.934882152290927,0.84754209226819,0.84754209226819,1,0.923333333333333,0.923333333333333,0.00264666666676931
"architecture",53,"M3","full_factorial","DBSCAN_full",500,5,2,6,"spherical","normal",0.05,1,0.55,"isolated",-6.56949142781812e-06,0.0344204857227425,0.0344204857227425,0.0366666666666667,0.963333333333333,0,0.00846999999999146
"architecture",54,"M3","full_factorial","DBSCAN_full",500,5,2,10,"spherical","normal",0.05,1,0.55,"isolated",4.33052053256771e-08,0.976458105587116,0.976458105587116,1,0,0,0.00883333333345945
"architecture",55,"M3","full_factorial","DBSCAN_full",500,5,2,6,"elliptical","normal",0.05,1,0.55,"isolated",3.97702885202138e-05,0.130772530634109,0.130772530634109,0.14,0.86,0,0.00853666666663533
"architecture",56,"M3","full_factorial","DBSCAN_full",500,5,2,10,"elliptical","normal",0.05,1,0.55,"isolated",2.33581494607407e-05,0.980202804365407,0.980202804365407,1,0,0,0.008543333333461
"architecture",57,"M3","full_factorial","DBSCAN_full",1000,2,2,6,"spherical","normal",0.05,1,0.55,"isolated",0.73237681428103,0.90312804248425,0.90312804248425,1,1.11333333333333,1.11333333333333,0.00454333333334944
"architecture",58,"M3","full_factorial","DBSCAN_full",1000,2,2,10,"spherical","normal",0.05,1,0.55,"isolated",0.931015391802621,0.898848572714857,0.898848572714857,1,1.47333333333333,1.47333333333333,0.00445999999999913
"architecture",59,"M3","full_factorial","DBSCAN_full",1000,2,2,6,"elliptical","normal",0.05,1,0.55,"isolated",0.000166655722744186,0.870774163185725,0.870774163185725,0.993333333333333,0.766666666666667,0.76,0.00459333333348089
"architecture",60,"M3","full_factorial","DBSCAN_full",1000,2,2,10,"elliptical","normal",0.05,1,0.55,"isolated",0.933466015897877,0.874904140578956,0.874904140578956,1,1.55666666666667,1.55666666666667,0.00455666666663698
