"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"architecture",32,"Trimmed_kmeans",300,0.974580851339571,0.00467265449996202,0.826547999720274,0.00833351534938436,0.826547999720274,0.00833351534938436,-0.98,0.00809640904752736,0.98,0.00809640904752736,0,0,-1.92758333333333,0.0117162223131729
"architecture",33,"Trimmed_kmeans",300,0.427810581493542,0.0258134760562644,0.856205010788361,0.00534591077453393,0.856205010788361,0.00534591077453393,-1,0,0.963333333333333,0.0108689706266209,-0.0366666666666667,0.0108689706266209,-2.21962333333355,0.0104292030801174
"architecture",34,"Trimmed_kmeans",300,0.584082448013816,0.026437156060808,0.856196766219562,0.00576832274399144,0.856196766219562,0.00576832274399144,-1,0,0.953333333333333,0.0121980437173918,-0.0466666666666667,0.0121980437173918,-2.37946666666644,0.0112489447872173
"architecture",35,"Trimmed_kmeans",300,0.4291265614402,0.0223597324305845,0.850255264937027,0.00531994848724938,0.850255264937027,0.00531994848724938,-1,0,0.953333333333333,0.0121980437173918,-0.0466666666666667,0.0121980437173918,-2.20604999999969,0.0105744977557791
"architecture",36,"Trimmed_kmeans",300,0.588855590591461,0.0263130123193349,0.858791751205502,0.00544560184200651,0.858791751205502,0.00544560184200651,-1,0,0.963333333333333,0.0108689706266209,-0.0366666666666667,0.0108689706266209,-2.43589333333337,0.0115563003547432
"architecture",37,"Trimmed_kmeans",300,0.930379223911509,0.000978277556101036,0.782363310400541,0.00468373986146835,0.782363310400541,0.00468373986146835,-1,0,1,0,0,0,-1.62016000000012,0.00473080975955041
"architecture",38,"Trimmed_kmeans",300,0.973856617221945,0.000659904710743681,0.786412466841565,0.00453121243168894,0.786412466841565,0.00453121243168894,-1,0,1,0,0,0,-1.71209999999993,0.00347094164419279
"architecture",39,"Trimmed_kmeans",300,0.889964362143786,0.00152326245336936,0.783457337406588,0.00459048353917961,0.783457337406588,0.0045904835391796,-1,0,1,0,0,0,-1.59547000000014,0.00489805404673681
"architecture",40,"Trimmed_kmeans",300,0.971701400495431,0.000858187211203014,0.778135969623132,0.00423387327840509,0.778135969623132,0.00423387327840509,-1,0,1,0,0,0,-1.70841666666674,0.00370088259180999
"architecture",41,"Trimmed_kmeans",300,0.424078067617161,0.0263397529948388,0.814730710073066,0.00840397652503401,0.814730710073066,0.00840397652503401,-1,0,0.75,0.0275838642183685,-0.25,0.0275838642183685,-3.47283666666647,0.0148553182173473
"architecture",42,"Trimmed_kmeans",300,0.555541567133502,0.0269286590169391,0.808263772666266,0.00880933166606939,0.808263772666266,0.00880933166606939,-1,0,0.673333333333333,0.0316732669293593,-0.326666666666667,0.0316732669293593,-3.61486666666671,0.0169708460968427
"architecture",43,"Trimmed_kmeans",300,0.454515821468702,0.0239749311891769,0.812496878338707,0.00841356327426847,0.812496878338707,0.00841356327426847,-1,0,0.76,0.0255856704599939,-0.24,0.0255856704599939,-3.54171000000001,0.0163736981389825
"architecture",44,"Trimmed_kmeans",300,0.604487630398435,0.0264145615958925,0.806072918076873,0.00932852969457124,0.806072918076873,0.00932852969457124,-1,0,0.67,0.0324286370272108,-0.33,0.0324286370272108,-3.66516666666663,0.0163216886800247
"architecture",45,"Trimmed_kmeans",300,0.935055779265458,0.000560287173713465,0.831847584503647,0.00490437977621356,0.831847584503647,0.00490437977621356,-1,0,1,0,0,0,-2.34395999999993,0.00560505974637093
"architecture",46,"Trimmed_kmeans",300,0.975988553705986,0.000461854247459161,0.837043557993965,0.00506848362752644,0.837043557993965,0.00506848362752644,-1,0,1,0,0,0,-2.4807633333332,0.00389881523991211
"architecture",47,"Trimmed_kmeans",300,0.897985078779663,0.0010261821025506,0.833643142381394,0.0046913964757755,0.833643142381394,0.0046913964757755,-1,0,1,0,0,0,-2.31971333333341,0.00547751799804716
"architecture",48,"Trimmed_kmeans",300,0.976085333888911,0.000461983404709013,0.831577554054635,0.00468679932487286,0.831577554054635,0.00468679932487286,-1,0,1,0,0,0,-2.4568700000001,0.00441288264310301
"architecture",49,"Trimmed_kmeans",300,0.387066737262744,0.0261863765780294,0.644230717380844,0.0183299665284342,0.644230717380844,0.0183299665284342,-0.843333333333333,0.0210209500708303,0.753333333333333,0.0249294806221008,-0.09,0.0165503185310211,-1.51170000000003,0.0296638237837262
"architecture",50,"Trimmed_kmeans",300,0.580093117279732,0.0270061086734052,0.75878945162727,0.0138126398349388,0.75878945162727,0.0138126398349388,-0.946666666666667,0.0129945819541649,0.83,0.0217234056840784,-0.116666666666667,0.0185652204372801,-1.73709333333361,0.014843138712977
"architecture",51,"Trimmed_kmeans",300,0.349482620395667,0.02188819434822,0.614239855131624,0.0190191582582211,0.614239855131624,0.0190191582582211,-0.813333333333333,0.0225336776737789,0.75,0.0254830697726749,-0.0633333333333333,0.014855928952659,-1.47511000000033,0.0299858809900706
"architecture",52,"Trimmed_kmeans",300,0.526854555891192,0.0274145196374982,0.738945145402798,0.0144480708110882,0.738945145402798,0.0144480708110882,-0.933333333333333,0.014425708913821,0.763333333333333,0.0250298966537165,-0.17,0.0222306747209959,-1.71803999999977,0.0189665437766571
"architecture",53,"Trimmed_kmeans",300,0.946205346113198,0.000924258945437843,0.0244516815441461,0.0085795522896262,0.0244516815441461,0.0085795522896262,-0.0266666666666667,0.00931707454688573,0.0266666666666667,0.00931707454688573,0,0,-0.192383333333273,0.0117352744210616
"architecture",54,"Trimmed_kmeans",300,0.979286466710005,0.000750097392041605,0.245181315377637,0.0234522884299383,0.245181315377637,0.0234522884299383,-0.27,0.0256748383522607,0.27,0.0256748383522607,0,0,-0.494433333332975,0.0321653648918327
"architecture",55,"Trimmed_kmeans",300,0.89880761066486,0.00162203413098688,0.106524665182329,0.0162858410302715,0.106524665182329,0.0162858410302715,-0.126666666666667,0.0192347078835446,0.126666666666667,0.0192347078835446,0,0,-0.323300000000017,0.0248331132101
"architecture",56,"Trimmed_kmeans",300,0.979038605719441,0.00073737150674571,0.280335677903349,0.0246985386689908,0.280335677903349,0.0246985386689908,-0.303333333333333,0.026585019936501,0.303333333333333,0.026585019936501,0,0,-0.540039999999911,0.0334434979207716
"architecture",57,"Trimmed_kmeans",300,0.348757811539802,0.025954493290169,0.73647962493381,0.0144350443965123,0.73647962493381,0.0144350443965123,-0.953333333333333,0.0121980437173918,0.72,0.0284258114370169,-0.233333333333333,0.02705678958237,-2.44150666666684,0.0218127704882591
"architecture",58,"Trimmed_kmeans",300,0.534190365557791,0.0275098776274145,0.767666674671875,0.012801977712675,0.767666674671875,0.012801977712675,-0.976666666666667,0.00873023594728576,0.646666666666667,0.0328074458380328,-0.33,0.0324286370272108,-2.52995666666668,0.0146399030297575
"architecture",59,"Trimmed_kmeans",300,0.278310716122856,0.0223417426687417,0.714468189928737,0.0137595155457242,0.714468189928737,0.0137595155457242,-0.966666666666667,0.0103810707302166,0.756666666666667,0.0285738041163523,-0.21,0.0274866948658588,-2.4620366666666,0.0166497717925331
"architecture",60,"Trimmed_kmeans",300,0.542370433078753,0.02754294825039,0.774734224958524,0.0114770797819213,0.774734224958524,0.0114770797819213,-0.996666666666667,0.00333333333333333,0.66,0.0345894861620448,-0.336666666666667,0.0345373413134517,-2.56752000000032,0.0121923541295125
"architecture",61,"Trimmed_kmeans",300,0.949423543791848,0.0005499384786625,0.0983576625975274,0.0144585587040559,0.0983576625975274,0.0144585587040559,-0.14,0.0200667781490772,0.14,0.0200667781490772,0,0,-0.485193333333385,0.0325584881117555
"architecture",62,"Trimmed_kmeans",300,0.981325016658944,0.000419329188447338,0.445881439563627,0.0248871621579842,0.445881439563627,0.0248871621579842,-0.533333333333333,0.028851417827642,0.533333333333333,0.028851417827642,0,0,-1.17061666666636,0.0497041096525197
"architecture",63,"Trimmed_kmeans",300,0.907437673480573,0.00112718676228916,0.233839632914277,0.0219990457794084,0.233839632914277,0.0219990457794084,-0.28,0.0259662760448778,0.28,0.0259662760448778,0,0,-0.723993333333322,0.0431132590999542
"architecture",64,"Trimmed_kmeans",300,0.981332859166694,0.000435611360656893,0.416287991366475,0.0251818499099782,0.416287991366475,0.0251818499099782,-0.49,0.0289099628705617,0.49,0.0289099628705617,0,0,-1.08781333333348,0.049307479464864
"architecture",65,"Trimmed_kmeans",300,0.425120770087427,0.026861888038548,0.809284630068632,0.0123979369760413,0.782753584308588,0.0142520283712436,-0.966666666666667,0.0103810707302166,1.73,0.0297012249708907,-0.0233333333333333,0.00873023594728576,-1.68360666666684,0.011594050288
"architecture",66,"Trimmed_kmeans",300,0.652896933774691,0.0261128803798603,0.850019765226384,0.00922126062387987,0.834652498114392,0.0107971124448618,-0.986666666666667,0.00663313753541497,1.85,0.0227069940948813,-0.0266666666666667,0.00931707454688573,-1.82823666666672,0.00808814745677684
"architecture",67,"Trimmed_kmeans",300,0.429652377847948,0.0232254399571527,0.829070258612992,0.0106805396148893,0.805767046398062,0.0125807887264761,-0.976666666666667,0.00873023594728576,1.79,0.0266631826040606,-0.0166666666666667,0.00740353546766901,-1.68501666666684,0.00880312534236959
"architecture",68,"Trimmed_kmeans",300,0.647945031186971,0.026204804194178,0.847191841119225,0.0086866222418919,0.828296151923629,0.0106258352656089,-0.993333333333333,0.00470615558697011,1.83333333333333,0.0230521358269375,-0.03,0.0109371366797436,-1.79963333333327,0.00853309098561498
"architecture",69,"Trimmed_kmeans",300,0.95544314740384,0.000860629494755638,0.60351583211241,0.0207559343590786,0.556072535033529,0.0212366089233101,-0.766666666666667,0.0244599795235114,1.26,0.0469492954512288,0,0,-1.05085999999984,0.0281935570096384
"architecture",70,"Trimmed_kmeans",300,0.983041197723721,0.000597752211871856,0.772367318052699,0.0112600494363415,0.758682351880959,0.0123027131373843,-0.953333333333333,0.0121980437173918,1.82,0.0283865655099252,0,0,-1.32234333333323,0.0152032288555072
"architecture",71,"Trimmed_kmeans",300,0.913057039956139,0.00146267448352737,0.577730312112414,0.0205108506675701,0.526098284914904,0.0206601833756801,-0.75,0.0250417711235317,1.2,0.0469825271726817,0,0,-1.021243333333,0.0285749450240603
"architecture",72,"Trimmed_kmeans",300,0.982095734854286,0.00065200054033599,0.750713199788149,0.0119589178753578,0.725209778674192,0.0135370256800252,-0.946666666666667,0.0129945819541649,1.74,0.0316263017983506,0,0,-1.31038333333336,0.0160181888380944
"architecture",73,"Trimmed_kmeans",300,0.453384748912695,0.0273427120708926,0.848834010559162,0.00806403924854385,0.845122779273164,0.00836784470679808,-0.996666666666667,0.00333333333333333,1.74,0.0305505046330389,-0.243333333333333,0.0297212367472603,-2.42445333333325,0.0110082812380297
"architecture",74,"Trimmed_kmeans",300,0.730973100231903,0.0242442451496723,0.835938065037688,0.00865060863806024,0.832924435153311,0.00886848945044937,-1,0,1.61666666666667,0.0390689677848743,-0.37,0.0389279413196307,-2.55624000000017,0.0111513759368161
"architecture",75,"Trimmed_kmeans",300,0.361050027295185,0.0242064171529793,0.846209282445479,0.00812665412784883,0.841927645326086,0.00849944441918003,-1,0,1.77666666666667,0.0291149007095957,-0.203333333333333,0.0284486798918378,-2.48825000000026,0.010985861111921
"architecture",76,"Trimmed_kmeans",300,0.655343588750705,0.0263425041364226,0.812553122807507,0.00933637861144787,0.809736899515951,0.00945234758370768,-1,0,1.54,0.0428265538232366,-0.453333333333333,0.0428039874921113,-2.61557333333381,0.0115444134788825
"architecture",77,"Trimmed_kmeans",300,0.959272451436743,0.000558974029592491,0.761596578024319,0.0159925297173669,0.744725553858708,0.0167646438110697,-0.9,0.0173494479589872,1.68666666666667,0.0372623149967216,0,0,-1.66602666666665,0.0272680839704629
"architecture",78,"Trimmed_kmeans",300,0.985418718196474,0.000374157981427786,0.822255297608866,0.0078066743141924,0.818004048195403,0.00853769026635078,-0.983333333333333,0.00740353546766901,1.93666666666667,0.0176035451312839,0,0,-1.87956666666665,0.0133847954749848
"architecture",79,"Trimmed_kmeans",300,0.920927869909735,0.00103166336902872,0.770064995166695,0.0147660831950549,0.754053386211958,0.0155999801473183,-0.916666666666667,0.0159837803332661,1.72333333333333,0.035024544136021,0,0,-1.57439666666714,0.0244383623434938
