"study","cell_id","scenario","factor_changed","method","n","p","main_k","separation","main_structure","main_distribution","minority_ratio","q","minority_sd","minority_proximity","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","end_to_end_seconds"
"negative_control",7,"N0X","p","tEIGEN_BIC",1000,10,2,6,"elliptical","normal",0,0,0.2,"isolated",0.490362867719175,NA,NA,1,2.235,2.235,79.1363339999999
"negative_control",8,"N0X","p","tEIGEN_BIC",1000,25,2,6,"elliptical","normal",0,0,0.2,"isolated",0.733241386052347,NA,NA,0.611,0.938,0.938,171.737068
"negative_control",9,"N0X","residual_total","tEIGEN_BIC",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.948597651102955,NA,NA,0.001,0.003,0.003,78.493842
"negative_control",10,"N0X","residual_total","tEIGEN_BIC",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.66708481645358,NA,NA,0.612,1.403,1.403,79.448749
"negative_control",1,"N0X","baseline","Trimmed_kmeans",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0050478541921924,NA,NA,0,0,0,0.176618000000004
"negative_control",2,"N0X","noise_type","Trimmed_kmeans",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.00565815343876464,NA,NA,0,0,0,0.174649999999997
"negative_control",3,"N0X","noise_type","Trimmed_kmeans",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.00509186347199594,NA,NA,0,0,0,0.175263000000005
"negative_control",4,"N0X","noise_type","Trimmed_kmeans",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.00816980592749587,NA,NA,0,0,0,0.176102000000013
"negative_control",5,"N0X","main_distribution","Trimmed_kmeans",1000,5,2,6,"elliptical","t5",0,0,0.2,"isolated",0.00475055370913833,NA,NA,0,0,0,0.175243000000001
"negative_control",6,"N0X","main_distribution","Trimmed_kmeans",1000,5,2,6,"elliptical","t3",0,0,0.2,"isolated",0.00501361440374581,NA,NA,0,0,0,0.175979000000018
"negative_control",7,"N0X","p","Trimmed_kmeans",1000,10,2,6,"elliptical","normal",0,0,0.2,"isolated",0.00371708382938009,NA,NA,0,0,0,0.229886999999992
"negative_control",8,"N0X","p","Trimmed_kmeans",1000,25,2,6,"elliptical","normal",0,0,0.2,"isolated",0.00302881285037494,NA,NA,0,0,0,0.337935999999943
"negative_control",9,"N0X","residual_total","Trimmed_kmeans",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.00389579389139664,NA,NA,0,0,0,0.176550000000041
"negative_control",10,"N0X","residual_total","Trimmed_kmeans",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0102850098885831,NA,NA,0,0,0,0.166868999999975
"negative_control",1,"N0X","baseline","TSRClust_unvalidated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.859326777648356,NA,NA,1,1,1,0.376836000000004
"negative_control",2,"N0X","noise_type","TSRClust_unvalidated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.941873614545163,NA,NA,1,1,1,0.372178000000007
"negative_control",3,"N0X","noise_type","TSRClust_unvalidated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.756308606758252,NA,NA,1,1,1,0.376194000000008
"negative_control",4,"N0X","noise_type","TSRClust_unvalidated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.762986828440212,NA,NA,1,1,1,0.377311999999985
"negative_control",5,"N0X","main_distribution","TSRClust_unvalidated",1000,5,2,6,"elliptical","t5",0,0,0.2,"isolated",0.737266301790616,NA,NA,1,1,1,0.376865000000017
"negative_control",6,"N0X","main_distribution","TSRClust_unvalidated",1000,5,2,6,"elliptical","t3",0,0,0.2,"isolated",0.683421513780496,NA,NA,1,1,1,0.381042000000015
"negative_control",7,"N0X","p","TSRClust_unvalidated",1000,10,2,6,"elliptical","normal",0,0,0.2,"isolated",0.875863298481179,NA,NA,1,1,1,0.634542999999961
"negative_control",8,"N0X","p","TSRClust_unvalidated",1000,25,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0314851936478682,NA,NA,1,1,1,1.98437400000001
"negative_control",9,"N0X","residual_total","TSRClust_unvalidated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.898460120157519,NA,NA,1,1,1,0.374669999999986
"negative_control",10,"N0X","residual_total","TSRClust_unvalidated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.794746389113709,NA,NA,1,1,1,0.358245999999943
"negative_control",1,"N0X","baseline","TSRClust_validated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.859327579412051,NA,NA,0,0,0,0.446071000000004
"negative_control",2,"N0X","noise_type","TSRClust_validated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.941873614545163,NA,NA,0,0,0,0.432275000000001
"negative_control",3,"N0X","noise_type","TSRClust_validated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.756308710972967,NA,NA,0,0,0,0.441726000000008
"negative_control",4,"N0X","noise_type","TSRClust_validated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.762988636167223,NA,NA,0.003,0.003,0.003,0.450296000000014
"negative_control",5,"N0X","main_distribution","TSRClust_validated",1000,5,2,6,"elliptical","t5",0,0,0.2,"isolated",0.737274517257265,NA,NA,0,0,0,0.439720000000002
"negative_control",6,"N0X","main_distribution","TSRClust_validated",1000,5,2,6,"elliptical","t3",0,0,0.2,"isolated",0.683432120680667,NA,NA,0,0,0,0.442656000000019
"negative_control",7,"N0X","p","TSRClust_validated",1000,10,2,6,"elliptical","normal",0,0,0.2,"isolated",0.875863298481179,NA,NA,0,0,0,0.708917999999963
"negative_control",8,"N0X","p","TSRClust_validated",1000,25,2,6,"elliptical","normal",0,0,0.2,"isolated",0.0314851936478682,NA,NA,0,0,0,2.07912999999998
"negative_control",9,"N0X","residual_total","TSRClust_validated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.898460124635125,NA,NA,0,0,0,0.41847400000004
"negative_control",10,"N0X","residual_total","TSRClust_validated",1000,5,2,6,"elliptical","normal",0,0,0.2,"isolated",0.794750683769558,NA,NA,0,0,0,0.456779000000011
