"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"stress",22,"Trimmed_kmeans",300,0.907786370611291,0.00101380855205606,0.210915302843321,0.0206644232480558,0.210915302843321,0.0206644232480558,-0.266666666666667,0.0255740485332257,0.266666666666667,0.0255740485332257,0,0,-0.684856666666713,0.0411045745835072
"stress",23,"Trimmed_kmeans",300,0.902009566306935,0.00118475794504769,0,0,0,0,0,0,0,0,0,0,-0.236806666666665,0.000674134208082912
"stress",24,"Trimmed_kmeans",300,0.806262838503012,0.00178632624463779,0,0,0,0,0,0,0,0,0,0,-0.258749999999894,0.000963157722397921
"stress",25,"Trimmed_kmeans",300,0.811337289997524,0.000992619149736542,0,0,0,0,0,0,0,0,0,0,-0.243873333333371,0.000716793201353048
"stress",26,"Trimmed_kmeans",300,0.876935324712949,0.00996593696817785,0.822618464038725,0.00852337850873655,0.822618464038725,0.00852337850873655,-0.976666666666667,0.00873023594728576,0.976666666666667,0.00873023594728576,0,0,-1.67681000000006,0.0222398194037789
"stress",27,"Trimmed_kmeans",300,0.874153909836461,0.00115493779008595,0.671448131020312,0.00426321241102058,0.671448131020312,0.00426321241102058,-1,0,0.986666666666667,0.00663313753541497,-0.0133333333333333,0.00663313753541497,-1.97621666666673,0.0112779976977263
"stress",28,"Trimmed_kmeans",300,0.794365347162081,0.0191555985072286,0.821381951904421,0.0161771227743858,0.821381951904421,0.0161771227743858,-0.9,0.0173494479589872,0.9,0.0173494479589872,0,0,-1.23129,0.0334671058940474
"stress",29,"Trimmed_kmeans",300,0.784483488844332,0.0127490094553568,0.93103863528083,0.00317033029108357,0.93103863528083,0.00317033029108357,-1,0,1,0,0,0,-1.67682666666675,0.0245947554448542
"stress",30,"Trimmed_kmeans",300,0.825859513852649,0.00841873352302037,0.933086800693521,0.00509749513768415,0.933086800693521,0.00509749513768415,-0.993333333333333,0.00470615558697011,0.993333333333333,0.00470615558697011,0,0,-1.68090333333324,0.0169506649194458
"stress",1,"DBSCAN_full",300,0.901871326187947,0.00613878212821091,0.205421540994565,0.0281131562191861,0.205421540994565,0.0281131562191861,-0.336666666666667,0.0281334347771423,0.336666666666667,0.0281334347771423,0,0,-1.95572666666667,0.0210362048120572
"stress",2,"DBSCAN_full",300,0.86929159548894,0.00919711701228377,0.167101302777125,0.0319651218643528,0.167101302777125,0.0319651218643528,-0.276666666666667,0.0340562631512775,0.276666666666667,0.0340562631512775,0,0,-0.968673333333332,0.0247713476703065
"stress",3,"DBSCAN_full",300,0.883030031836925,0.00810531777929433,0.184083724100559,0.0282999051653777,0.184083724100559,0.0282999051653777,-0.306666666666667,0.0294480376147687,0.306666666666667,0.0294480376147687,0,0,-1.29093,0.0232647616867954
"stress",4,"DBSCAN_full",300,0.914647212513082,0.00309608786767235,0.139798730137312,0.0261121411761689,0.139798730137312,0.0261121411761689,-0.26,0.0258026123659067,0.26,0.0258026123659067,0,0,-4.64949,0.0223832606295477
"stress",5,"DBSCAN_full",300,0.910062463877529,0.00309165173420634,-0.173891252769745,0.0108182099134961,-0.173891252769745,0.0108182099134961,0,0,0.0966666666666667,0.0603036414432145,0.0966666666666667,0.0603036414432145,-2.56523666666665,0.0116938254661156
"stress",6,"DBSCAN_full",300,0.000720811780140649,5.68867365583149e-05,0.972772277227723,0.00931264339796655,0.972772277227723,0.00931264339796655,-0.973333333333333,0.00931707454688573,0.973333333333333,0.00931707454688573,0,0,-0.632013333333334,0.00136572123809492
"stress",7,"DBSCAN_full",300,0.00114607811843234,0.000142451026678461,0,0,0,0,0,0,0,0,0,0,-1.97304333333332,0.00268891866274898
"stress",8,"DBSCAN_full",300,0.000895404986202487,0.000131656694834286,0,0,0,0,0,0,0,0,0,0,-7.37797333333336,0.00604861002549112
"stress",9,"DBSCAN_full",300,0.88798243587616,0.00182640710513819,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,-0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,-0.692960000000013,0.00119854761605904
"stress",10,"DBSCAN_full",300,0.820204642706704,0.00107555735512849,-0.537093478198413,0.0282921374566826,-0.537093478198413,0.0282921374566826,0.546666666666667,0.0287895269780431,-0.546666666666667,0.0287895269780431,0,0,-0.415853333333312,0.000883804148726314
"stress",11,"DBSCAN_full",300,0.466037587913436,0.0165247751259753,0.185420269040039,0.0223840808425988,0.185420269040039,0.0223840808425988,-0.186666666666667,0.0225336776737789,0.186666666666667,0.0225336776737789,0,0,-0.415266666666618,0.000853118527863722
